date_time	ST	wind_burst
2006.16	-0.16	-1.00
2006.24	-0.15	12.19
2006.32	-0.15	-1.12
2006.40	-0.15	8.53
2006.48	-0.15	-1.06
2006.56	-0.15	-1.29
2006.64	-0.16	10.79
2006.72	-0.17	7.43
2006.80	-0.18	11.96
2006.88	-0.19	5.65
2006.96	-0.20	-2.44
2007.08	-0.20	-0.22
2007.16	-0.21	8.69
2007.24	-0.22	10.04
2007.32	-0.24	-6.24
2007.40	-0.23	2.27
2007.48	-0.21	-10.34
2007.56	-0.18	-3.81
2007.64	-0.14	-4.81
2007.72	-0.09	-1.82
2007.80	-0.06	-8.34
2007.88	-0.06	-2.56
2007.96	-0.05	-13.05
2008.08	-0.05	-7.06
2008.16	-0.05	-6.74
2008.24	-0.05	1.32
2008.32	-0.04	-3.60
2008.40	-0.03	-0.06
2008.48	-0.02	4.22
2008.56	-0.01	-3.23
2008.64	-0.01	-7.91
2008.72	-0.01	-1.06
2008.80	-0.01	-6.20
2008.88	-0.02	-9.61
2008.96	-0.02	8.17
2009.08	-0.02	-2.82
2009.16	-0.02	-4.48
2009.24	-0.01	11.05
2009.32	-0.01	1.29
2009.40	-0.00	9.63
2009.48	-0.01	3.57
2009.56	-0.02	2.56
2009.64	-0.03	8.67
2009.72	-0.03	7.22
2009.80	-0.02	7.00
2009.88	-0.01	0.45
2009.96	0.00	12.69
2010.08	0.03	13.53
2010.16	0.05	0.82
2010.24	0.07	-4.64
2010.32	0.09	-2.00
2010.40	0.10	-1.60
2010.48	0.11	-7.59
2010.56	0.11	-19.29
2010.64	0.09	-18.86
2010.72	0.06	-21.74
2010.80	0.03	-4.08
2010.88	0.00	-4.62
2010.96	-0.01	4.65
2011.08	-0.00	-2.59
2011.16	0.02	6.64
2011.24	0.02	-2.63
2011.32	0.02	0.66
2011.40	0.03	-4.32
2011.48	0.05	-10.90
2011.56	0.06	-9.21
2011.64	0.06	-4.19
2011.72	0.06	-12.78
2011.80	0.06	-2.68
2011.88	0.06	-1.61
2011.96	0.07	-17.14
2012.08	0.08	1.39
2012.16	0.09	-11.08
2012.24	0.09	7.04
2012.32	0.08	11.45
2012.40	0.08	0.62
2012.48	0.06	0.05
2012.56	0.06	-1.36
2012.64	0.05	1.03
2012.72	0.04	3.13
2012.80	0.04	2.23
2012.88	0.03	3.81
2012.96	0.02	3.66
2013.08	0.02	6.06
2013.16	0.01	-17.26
2013.24	0.01	3.76
2013.32	0.02	3.56
2013.40	0.03	-3.29
2013.48	0.03	-5.56
2013.56	0.03	-5.92
2013.64	0.03	-1.58
2013.72	0.03	-6.05
2013.80	0.03	4.72
2013.88	0.04	-2.24
2013.96	0.03	0.31
2014.08	0.03	9.78
2014.16	0.02	13.48
2014.24	0.01	9.08
2014.32	0.01	12.03
2014.40	0.01	7.13
2014.48	-0.00	4.51
2014.56	-0.01	7.19
2014.64	-0.02	3.22
2014.72	-0.03	2.83
2014.80	-0.03	7.63
2014.88	-0.04	9.40
